date,sejrik,mencik2,Mates511,ominar
2018-01-04,61,65,0,0
2018-01-05,61,65,0,0
2018-01-06,61,65,0,0
2018-01-07,61,65,0,0
2018-01-08,61,65,0,0
2018-01-09,61,65,0,0
2018-01-10,61,65,0,0
2018-01-11,61,65,0,0
2018-01-12,61,65,0,0
2018-01-13,61,65,0,0
2018-01-14,61,65,0,0
2018-01-15,61,65,0,0
2018-01-16,61,65,0,0
2018-01-17,61,65,0,0
2018-01-18,61,65,0,0
2018-01-19,61,65,0,0
2018-01-20,61,65,0,0
2018-01-21,61,65,0,0
2018-01-22,61,65,0,0
2018-01-23,61,65,0,0
2018-01-24,61,65,0,0
2018-01-25,61,65,0,0
2018-01-26,61,65,0,0
2018-01-27,61,65,0,0
2018-01-28,61,65,0,0
2018-01-29,61,65,0,0
2018-01-30,61,65,0,0
2018-01-31,61,65,0,0
2018-02-01,61,65,0,0
2018-02-02,61,65,0,0
2018-02-03,61,65,0,0
2018-02-04,61,65,0,0
2018-02-05,61,65,0,0
2018-02-06,61,65,0,0
2018-02-07,61,65,0,0
2018-02-08,61,65,0,0
2018-02-09,61,65,0,0
2018-02-10,61,65,0,0
2018-02-11,61,65,0,0
2018-02-12,61,65,0,0
2018-02-13,61,65,0,0
2018-02-14,61,65,0,0
2018-02-15,61,65,0,0
2018-02-16,61,65,0,0
2018-02-17,61,65,0,0
2018-02-18,61,65,0,0
2018-02-19,61,65,0,0
2018-02-20,61,65,0,0
2018-02-21,61,65,0,0
2018-02-22,61,65,0,0
2018-02-23,61,65,0,0
2018-02-24,61,65,0,0
2018-02-25,61,65,0,0
2018-02-26,61,65,0,0
2018-02-27,61,65,0,0
2018-02-28,61,65,0,0
2018-03-01,61,65,0,0
2018-03-02,61,65,0,0
2018-03-03,61,65,0,0
2018-03-04,61,65,0,0
2018-03-05,61,65,0,0
2018-03-06,61,65,0,0
2018-03-07,61,65,0,0
2018-03-08,61,65,0,0
2018-03-09,61,65,0,0
2018-03-10,61,65,0,0
2018-03-11,61,65,0,0
2018-03-12,61,65,0,0
2018-03-13,61,65,0,0
2018-03-14,61,65,0,0
2018-03-15,61,65,0,0
2018-03-16,61,65,0,0
2018-03-17,61,65,0,0
2018-03-18,61,65,0,0
2018-03-19,61,65,0,0
2018-03-20,61,65,0,0
2018-03-21,61,65,0,0
2018-03-22,61,65,0,0
2018-03-23,61,65,0,0
2018-03-24,61,65,0,0
2018-03-25,61,65,0,0
2018-03-26,61,65,0,0
2018-03-27,61,65,0,0
2018-03-28,61,65,0,0
2018-03-29,61,65,0,0
2018-03-30,61,65,0,0
2018-03-31,61,65,0,0
2018-04-01,61,65,0,0
2018-04-02,61,65,0,0
2018-04-03,61,65,0,0
2018-04-04,61,65,0,0
2018-04-05,61,65,0,0
2018-04-06,61,65,0,0
2018-04-07,61,65,0,0
2018-04-08,61,65,0,0
2018-04-09,61,65,0,0
2018-04-10,61,65,0,0
2018-04-11,61,65,0,0
2018-04-12,61,65,0,0
2018-04-13,61,65,0,0
2018-04-14,61,65,0,0
2018-04-15,61,65,0,0
2018-04-16,61,65,0,0
2018-04-17,61,65,0,0
2018-04-18,61,65,0,0
2018-04-19,61,65,0,0
2018-04-20,61,65,0,0
2018-04-21,61,65,0,0
2018-04-22,61,65,0,0
2018-04-23,61,65,0,0
2018-04-24,61,65,0,0
2018-04-25,61,65,0,0
2018-04-26,61,65,0,0
2018-04-27,61,65,0,0
2018-04-28,61,65,0,0
2018-04-29,61,65,0,0
2018-04-30,61,65,0,0
2018-05-01,61,65,0,0
2018-05-02,61,65,0,0
2018-05-03,61,65,0,0
2018-05-04,61,65,0,0
2018-05-05,61,65,0,0
2018-05-06,61,65,0,0
2018-05-07,61,65,0,0
2018-05-08,63,67,0,0
2018-05-09,63,67,0,0
2018-05-10,63,67,0,0
2018-05-11,63,67,0,0
2018-05-12,63,67,0,0
2018-05-13,63,67,0,0
2018-05-14,63,67,0,0
2018-05-15,63,67,0,0
2018-05-16,63,67,0,0
2018-05-17,63,67,0,0
2018-05-18,63,67,0,0
2018-05-19,63,67,0,0
2018-05-20,63,67,0,0
2018-05-21,63,67,0,0
2018-05-22,63,67,0,0
2018-05-23,63,67,0,0
2018-05-24,63,67,0,0
2018-05-25,63,67,0,0
2018-05-26,63,67,0,0
2018-05-27,63,67,0,0
2018-05-28,63,67,0,0
2018-05-29,63,67,0,0
2018-05-30,63,67,0,0
2018-05-31,63,67,0,0
2018-06-01,63,67,0,0
2018-06-02,63,67,0,0
2018-06-03,63,67,0,0
2018-06-04,63,67,0,0
2018-06-05,63,67,0,0
2018-06-06,63,67,0,0
2018-06-07,63,67,0,0
2018-06-08,63,67,0,0
2018-06-09,63,67,0,0
2018-06-10,63,67,0,0
2018-06-11,63,67,0,0
2018-06-12,63,67,0,0
2018-06-13,63,67,0,0
2018-06-14,63,67,0,0
2018-06-15,63,67,0,0
2018-06-16,63,67,0,0
2018-06-17,63,67,0,0
2018-06-18,63,67,0,0
2018-06-19,63,67,0,0
2018-06-20,63,67,0,0
2018-06-21,63,67,0,0
2018-06-22,63,67,0,0
2018-06-23,63,67,0,0
2018-06-24,63,67,0,0
2018-06-25,63,68,0,0
2018-06-26,63,70,0,0
2018-06-27,63,70,0,0
2018-06-28,63,70,0,0
2018-06-29,63,70,0,0
2018-06-30,63,70,0,0
2018-07-01,63,70,0,0
2018-07-02,63,70,0,0
2018-07-03,63,70,0,0
2018-07-04,63,70,0,0
2018-07-05,63,70,0,0
2018-07-06,63,70,0,0
2018-07-07,63,70,0,0
2018-07-08,63,70,0,0
2018-07-09,63,70,0,0
2018-07-10,63,70,0,0
2018-07-11,63,70,0,0
2018-07-12,63,70,0,0
2018-07-13,63,70,0,0
2018-07-14,63,70,0,0
2018-07-15,63,70,0,0
2018-07-16,63,70,0,0
2018-07-17,63,70,0,0
2018-07-18,63,70,0,0
2018-07-19,63,70,0,0
2018-07-20,63,70,0,0
2018-07-21,63,70,0,0
2018-07-22,63,70,0,0
2018-07-23,63,70,0,0
2018-07-24,63,70,0,0
2018-07-25,63,70,0,0
2018-07-26,63,70,0,0
2018-07-27,63,70,0,0
2018-07-28,63,70,0,0
2018-07-29,63,70,0,0
2018-07-30,63,70,0,0
2018-07-31,63,70,0,0
2018-08-01,63,70,0,0
2018-08-02,63,70,0,0
2018-08-03,63,70,0,0
2018-08-04,63,70,0,0
2018-08-05,63,70,0,0
2018-08-06,63,70,0,0
2018-08-07,63,70,0,0
2018-08-08,63,70,0,0
2018-08-09,63,70,0,0
2018-08-10,63,70,0,0
2018-08-11,63,70,0,0
2018-08-12,63,70,0,0
2018-08-13,63,70,0,0
2018-08-14,63,70,0,0
2018-08-15,63,70,0,0
2018-08-16,63,70,0,0
2018-08-17,63,70,0,0
2018-08-18,64,70,0,0
2018-08-19,64,70,0,0
2018-08-20,64,70,0,0
2018-08-21,64,70,0,0
2018-08-22,64,70,0,0
2018-08-23,64,70,0,0
2018-08-24,64,70,0,0
